Plane ID	Display Name	Display company	Display description	Tier	Base buy price	Base sell price	Stall speed (KPH)	Max speed (KPH)	Idle RPM	RPM gfx change	Max RPM	Force at max RPM	Base durability	Base weight (kg)	Cargo max weight (kg)	Crew station 1	Crew station 2	Crew station 3	Gun mount 1	Gun mount 2	Gun mount 3	Gun mount 4	Payload mount 1	Payload mount 2	Payload mount 3	Combat Mod Slots	Performance Mod Slots	Equipment Mod Slots
START_PLANE	Junker	Scrap Pile 	It's charitable to call this a "plane" but for now she'll fly. It can do a little of everything, but can't do any of it well. Just keep an eye on the upper left wing - it's a bit wobbly.	0	0											FALSE	FALSE	FALSE	1	0	0	0	0	0	0			
GI_SCOUT1	Pointer No. 1	Grimsby Industries	The Grimsby Industries Pointer, like all of their aircraft, gets to the point without fuss. Simple to operate and maintain, the Pointer is a reliable scouting aircraft, if not quite as nimble or fully featured as other options on the market. The No. 1's single light gun mount is suitable for self-defense and light duty attack, but should not be relied on against serious threats.	1												FALSE	FALSE	FALSE	1	0	0	0	0	0	0			
GI_SCOUT2	Pointer No. 2	Grimsby Industries	The Grimsby Industries Pointer, like all of their aircraft, gets to the point without fuss. Simple to operate and maintain, the Pointer is a reliable scouting aircraft, if not quite as nimble or fully featured as other options on the market. With the No. 2 model comes new features, including an additional seat for a crew-member. A second light gun mount makes this version a more capable aircraft to use for interception duties.	2												TRUE	FALSE	FALSE	1	1	0	0	0	0	0			
GI_SCOUT3	Pointer No. 3	Grimsby Industries	The Grimsby Industries Pointer, like all of their aircraft, gets to the point without fuss. Simple to operate and maintain, the Pointer is a reliable scouting aircraft, if not quite as nimble or fully featured as other options on the market. The current top tier No. 3 model sees it with sharper teeth as well as more utility. A rear facing light gun swivel mount gives the second crew member the ability to attack enemies above and to the rear. The other addition is a single light underside bracket suited for a small bomb or set of rockets.	3												TRUE	FALSE	FALSE	1	1	1.1	0	1	0	0			
GI_FIGHTER1	Boxer 1A	Grimsby Industries	!The Boxer is Grimsby Industries' contribution to the field of multi-role fighter aircraft. Its tried and true design gives it the ability to take on any task, although not as well as a more specialized model.	1												FALSE	FALSE	FALSE										
GI_FIGHTER2	Boxer 2A	Grimsby Industries	!The Boxer is Grimsby Industries' contribution to the field of multi-role fighter aircraft. Its tried and true design gives it the ability to take on any task, although not as well as a more specialized model.	2												TRUE	TRUE	FALSE										
GI_FIGHTER3	Boxer 3A	Grimsby Industries	!The Boxer is Grimsby Industries' contribution to the field of multi-role fighter aircraft. Its tried and true design gives it the ability to take on any task, although not as well as a more specialized model.	3												TRUE	TRUE	FALSE										
GI_HEAVY1	Mastiff V/1	Grimsby Industries	!Grimsby Industries' Mastiff is tough and loyal, and it packs a mean bite. It takes to assault roles well, at home either bombing ground targets or strafing armored targets. It won't win beauty contests with its looks, but there won't be one by the time it's done. 	1												TRUE	FALSE	FALSE										
GI_HEAVY2	Mastiff V/2	Grimsby Industries	!Grimsby Industries' Mastiff is tough and loyal, and it packs a mean bite. It takes to assault roles well, at home either bombing ground targets or strafing armored targets. It won't win beauty contests with its looks, but there won't be one by the time it's done. 	2												TRUE	TRUE	FALSE										
GI_HEAVY3	Mastiff V/3	Grimsby Industries	!Grimsby Industries' Mastiff is tough and loyal, and it packs a mean bite. It takes to assault roles well, at home either bombing ground targets or strafing armored targets. It won't win beauty contests with its looks, but there won't be one by the time it's done. 	3												TRUE	TRUE	TRUE										
GI_CARGO1	Mongrel 41	Grimsby Industries	!The Grimsby Industries Mongrel may be as scruffy and unassuming as it's namesake, but its tried and true design makes it a common sight in trade routes. 	1												TRUE	FALSE	FALSE										
GI_CARGO2	Mongrel 42	Grimsby Industries	!The Grimsby Industries Mongrel may be as scruffy and unassuming as it's namesake, but its tried and true design makes it a common sight in trade routes. 	2												TRUE	TRUE	FALSE										
